feature,importance,mean_abs_shap,catboost_rank,shap_rank
FLOORSMAX_AVG,0.1163629505648437,0.00898247276915111,131,82
INST_UNDERPAID_RATE,0.5054738461430901,0.008427827755602751,57,83
BUREAU_LOAN_COUNT,0.47179893733468775,0.008426906353232622,62,84
FLAG_DOCUMENT_18,0.25472496776507,0.007918741112667584,84,85
APARTMENTS_AVG,0.20105782290899726,0.00766381151844804,103,86
FLAG_DOCUMENT_16,0.23721883398521923,0.007652686532784068,86,87
INST_UNDERPAID_COUNT,0.19471991780847017,0.007595990053288004,104,88
FLAG_PHONE,0.14489540272352386,0.007549609623543367,119,89
PREV_AMT_APPLICATION_MEAN,0.3864251426244986,0.007534716567296897,73,90
PREV_AMT_APPLICATION_SUM,0.43769541558903513,0.007362880056623641,67,91
PREV_AMT_CREDIT_MEAN,0.4856041355749192,0.007185118249579974,61,92
INST_DPD_VALID_COUNT,0.17324382179727232,0.006817750568526449,111,93
WALLSMATERIAL_MODE,0.19394672684414346,0.006757033603896767,105,94
ENTRANCES_AVG,0.1860981425335353,0.006727341862604494,106,95
OBS_60_CNT_SOCIAL_CIRCLE,0.3051352209682588,0.006604696681398838,79,96
APARTMENTS_MEDI,0.15301768051322825,0.006563300040762482,118,97
PREV_AMT_CREDIT_SUM,0.3052698213047526,0.006122330489292314,78,98
TOTALAREA_MODE,0.21020337531004943,0.00597475577526069,95,99
NONLIVINGAPARTMENTS_AVG,0.25518570768431476,0.005837009581189562,83,100
CNT_FAM_MEMBERS,0.20995443329281932,0.00582136090768606,96,101
YEARS_BEGINEXPLUATATION_MEDI,0.20915282788381942,0.005774086819260103,98,102
FLOORSMAX_MEDI,0.06798533466061481,0.005749176613668934,150,103
INST_LATE_7_COUNT,0.0861478608385952,0.005556114183298198,139,104
NONLIVINGAREA_MODE,0.18269156054354055,0.005124544001738333,108,105
FLAG_EMP_PHONE,0.15383017882553168,0.005057102870243604,117,106
NAME_HOUSING_TYPE,0.1672848296579825,0.004954770827778637,112,107
FLAG_OWN_REALTY,0.104092854808707,0.004700356013637475,133,108
LANDAREA_MODE,0.23372293345256426,0.004560228628155264,88,109
NAME_TYPE_SUITE,0.14294090336218102,0.004559932934530612,121,110
INST_DPD_MAX,0.17506061238224646,0.004505408664564837,110,111
INST_SHORTFALL_SUM,0.17633974248359757,0.004477058219634202,109,112
BASEMENTAREA_MODE,0.24484390737962322,0.004413805592085317,85,113
ELEVATORS_AVG,0.06553762789017106,0.004310501674486921,151,114
FLAG_DOCUMENT_6,0.20353763994532634,0.004196174938319276,101,115
INST_LATE_PAYMENT_COUNT,0.1335192815491195,0.004114749628500569,124,116
FLAG_DOCUMENT_13,0.13186198039812283,0.003959845758526005,125,117
LIVINGAREA_MEDI,0.15903613765696523,0.003947397992599326,114,118
HOUSETYPE_MODE,0.025582818343922013,0.003933928810779314,171,119
APARTMENTS_MODE,0.21509468332530624,0.003923845829309871,92,120
CNT_CHILDREN,0.12795142911746057,0.003827575046958922,128,121
LANDAREA_MEDI,0.18513919627069075,0.0038215305990729432,107,122
LIVINGAREA_MODE,0.15816054678976052,0.0037095355367775125,115,123
BASEMENTAREA_AVG,0.15577071305262863,0.0034888359873151073,116,124
AMT_REQ_CREDIT_BUREAU_MON,0.1633971843835556,0.0034778903824577148,113,125
LANDAREA_AVG,0.21229556933012686,0.003453009349197113,94,126
OBS_30_CNT_SOCIAL_CIRCLE,0.2759601474843032,0.003411449261786985,82,127
FONDKAPREMONT_MODE,0.11681497008221547,0.003347516346824706,130,128
NONLIVINGAREA_AVG,0.20989920776241736,0.0030416656212132057,97,129
LIVINGAREA_AVG,0.20570319381882085,0.003035966008132296,100,130
NONLIVINGAREA_MEDI,0.23350207357494562,0.0030337881859960015,89,131
ENTRANCES_MODE,0.11985781531922755,0.002784058411268749,129,132
YEARS_BEGINEXPLUATATION_AVG,0.12830312479562475,0.0027061519929205617,127,133
YEARS_BUILD_MODE,0.08903355965151494,0.0026836880418609696,138,134
PREV_APPLICATION_COUNT,0.12992778920628056,0.0026725586266564175,126,135
LIVINGAPARTMENTS_MODE,0.08603217692574608,0.0025442637228440456,140,136
AMT_REQ_CREDIT_BUREAU_WEEK,0.09696750622350422,0.00250963739914483,136,137
COMMONAREA_AVG,0.1426456792723123,0.0024886148299720027,122,138
ELEVATORS_MEDI,0.05265878210118087,0.00229271005885526,156,139
BASEMENTAREA_MEDI,0.098217084072279,0.0021328910589124635,135,140
LIVINGAPARTMENTS_AVG,0.10710880635208446,0.0021144597254722035,132,141
EMERGENCYSTATE_MODE,0.07383755968023967,0.0021042753831993547,146,142
ELEVATORS_MODE,0.07344485986563651,0.002101819493340054,147,143
FLAG_DOCUMENT_11,0.07854787568559521,0.0020801753305178705,142,144
FLOORSMAX_MODE,0.039629103844410464,0.002077102398666204,160,145
REG_REGION_NOT_LIVE_REGION,0.057457980071961505,0.002039755614005116,153,146
COMMONAREA_MODE,0.13374112262067486,0.002025358122719497,123,147
PREV_STATUS_Unused offer,0.09551135448952593,0.001983822275856068,137,148
YEARS_BUILD_AVG,0.08369585978298556,0.0019535368519360925,141,149
INST_LATE_30_RATE,0.07521462560201002,0.0018467860423899709,144,150
LIVE_CITY_NOT_WORK_CITY,0.04216916385801694,0.0017777278585895829,159,151
YEARS_BUILD_MEDI,0.07025258834277177,0.0016460336262700491,149,152
FLOORSMIN_AVG,0.03362922935701603,0.0015715467985200453,166,153
BUREAU_STATUS_Sold,0.1021001026235868,0.001553033166428369,134,154
FLAG_EMAIL,0.05436444150402191,0.00149482142653768,154,155
COMMONAREA_MEDI,0.07476948336656478,0.0014314926349188522,145,156
BUREAU_STATUS_Bad debt,0.0168149649489878,0.0013402333332250837,174,157
FLOORSMIN_MEDI,0.03759844750408279,0.0012387232067469904,163,158
FLOORSMIN_MODE,0.028427625950656177,0.0012238109713552765,168,159
PREV_STATUS_Canceled,0.04530313369303038,0.0011710463915745577,157,160
REG_CITY_NOT_WORK_CITY,0.024430701589928272,0.001106371432008302,172,161
BUREAU_OVERDUE_MAX,0.03509531496397457,0.0010897720287501554,164,162
ENTRANCES_MEDI,0.04448495339768381,0.0010687350374417755,158,163
LIVINGAPARTMENTS_MEDI,0.03850680655335863,0.001052575331902588,161,164
AMT_REQ_CREDIT_BUREAU_HOUR,0.028489577200772685,0.0010434572306492642,167,165
BUREAU_CREDIT_PROLONG_SUM,0.07126057589628206,0.001003865459794815,148,166
NONLIVINGAPARTMENTS_MODE,0.07793430435938717,0.0009682153673009819,143,167
BUREAU_CREDIT_DAY_OVERDUE_MAX,0.053883105311065535,0.0008330205088157636,155,168
FLAG_DOCUMENT_15,0.037689126117270114,0.000783350133574431,162,169
PREV_HAS_HISTORY,0.012564498134156409,0.0005707608493328936,178,170
REG_REGION_NOT_WORK_REGION,0.016255658318767293,0.0005560664777601126,176,171
BUREAU_OVERDUE_SUM,0.027180658306380747,0.0005400840921000429,169,172
AMT_REQ_CREDIT_BUREAU_DAY,0.058971145299501385,0.0005052964664175636,152,173
NONLIVINGAPARTMENTS_MEDI,0.021882443972195607,0.0004966728016486258,173,174
FLAG_DOCUMENT_8,0.012058290795984819,0.0004489584351358359,179,175
