feature,mean_abs_shap
OBS_30_CNT_SOCIAL_CIRCLE,0.003411449261786985
FONDKAPREMONT_MODE,0.003347516346824706
NONLIVINGAREA_AVG,0.0030416656212132057
LIVINGAREA_AVG,0.003035966008132296
NONLIVINGAREA_MEDI,0.0030337881859960015
ENTRANCES_MODE,0.002784058411268749
YEARS_BEGINEXPLUATATION_AVG,0.0027061519929205617
YEARS_BUILD_MODE,0.0026836880418609696
PREV_APPLICATION_COUNT,0.0026725586266564175
LIVINGAPARTMENTS_MODE,0.0025442637228440456
AMT_REQ_CREDIT_BUREAU_WEEK,0.00250963739914483
COMMONAREA_AVG,0.0024886148299720027
ELEVATORS_MEDI,0.00229271005885526
BASEMENTAREA_MEDI,0.0021328910589124635
LIVINGAPARTMENTS_AVG,0.0021144597254722035
EMERGENCYSTATE_MODE,0.0021042753831993547
ELEVATORS_MODE,0.002101819493340054
FLAG_DOCUMENT_11,0.0020801753305178705
FLOORSMAX_MODE,0.002077102398666204
REG_REGION_NOT_LIVE_REGION,0.002039755614005116
COMMONAREA_MODE,0.002025358122719497
PREV_STATUS_Unused offer,0.001983822275856068
YEARS_BUILD_AVG,0.0019535368519360925
INST_LATE_30_RATE,0.0018467860423899709
LIVE_CITY_NOT_WORK_CITY,0.0017777278585895829
YEARS_BUILD_MEDI,0.0016460336262700491
FLOORSMIN_AVG,0.0015715467985200453
BUREAU_STATUS_Sold,0.001553033166428369
FLAG_EMAIL,0.00149482142653768
COMMONAREA_MEDI,0.0014314926349188522
BUREAU_STATUS_Bad debt,0.0013402333332250837
FLOORSMIN_MEDI,0.0012387232067469904
FLOORSMIN_MODE,0.0012238109713552765
PREV_STATUS_Canceled,0.0011710463915745577
REG_CITY_NOT_WORK_CITY,0.001106371432008302
BUREAU_OVERDUE_MAX,0.0010897720287501554
ENTRANCES_MEDI,0.0010687350374417755
LIVINGAPARTMENTS_MEDI,0.001052575331902588
AMT_REQ_CREDIT_BUREAU_HOUR,0.0010434572306492642
BUREAU_CREDIT_PROLONG_SUM,0.001003865459794815
NONLIVINGAPARTMENTS_MODE,0.0009682153673009819
BUREAU_CREDIT_DAY_OVERDUE_MAX,0.0008330205088157636
FLAG_DOCUMENT_15,0.000783350133574431
PREV_HAS_HISTORY,0.0005707608493328936
REG_REGION_NOT_WORK_REGION,0.0005560664777601126
BUREAU_OVERDUE_SUM,0.0005400840921000429
AMT_REQ_CREDIT_BUREAU_DAY,0.0005052964664175636
NONLIVINGAPARTMENTS_MEDI,0.0004966728016486258
FLAG_DOCUMENT_8,0.0004489584351358359
BUREAU_HAS_HISTORY,0.0004395503818521883
FLAG_DOCUMENT_14,0.00042864025938802277
FLAG_DOCUMENT_5,0.00040149930857935053
INST_LATE_30_COUNT,0.0003415587034782366
FLAG_CONT_MOBILE,0.00020023925621183886
FLAG_DOCUMENT_9,0.00010569304825034714
FLAG_DOCUMENT_17,6.420801185316624e-05
BUREAU_CREDIT_DAY_OVERDUE_MEAN,4.634331868807298e-05
FLAG_DOCUMENT_10,1.584651131995069e-07
LIVE_REGION_NOT_WORK_REGION,0.0
FLAG_MOBIL,0.0
FLAG_DOCUMENT_2,0.0
FLAG_DOCUMENT_12,0.0
FLAG_DOCUMENT_19,0.0
FLAG_DOCUMENT_20,0.0
FLAG_DOCUMENT_7,0.0
FLAG_DOCUMENT_21,0.0
FLAG_DOCUMENT_4,0.0
INST_HAS_HISTORY,0.0
DAYS_EMPLOYED_ANOMALY,0.0
