threshold,accuracy,precision,recall,f1,TN,FP,FN,TP
0.1,0.16472367201599922,0.0874273217048061,0.9903323262839879,0.16067052249779434,5214,51324,48,4917
0.11,0.18208867860104386,0.08895577596054469,0.9881168177240685,0.16321777896067602,6293,50245,59,4906
0.12,0.19894964473277726,0.09038795813454639,0.984491440080564,0.16557424250122793,7348,49190,77,4888
0.13,0.2164447262735151,0.09197659052293751,0.9812688821752266,0.1681884870976094,8440,48098,93,4872
0.13999999999999999,0.23436255142025592,0.09358598332818771,0.9768378650553877,0.1708077268485094,9564,46974,115,4850
0.14999999999999997,0.253483569907159,0.09542346757301506,0.9726082578046324,0.1737956847996257,10761,45777,136,4829
0.15999999999999998,0.2723932165910606,0.09747263198365001,0.9701913393756294,0.17714769049720505,11936,44602,148,4817
0.16999999999999998,0.29187194120612003,0.09952882080660896,0.9657603222557906,0.18045989989085845,13156,43382,170,4795
0.17999999999999997,0.3105864754564818,0.10160905840286055,0.9615307150050353,0.18379564572946544,14328,42210,191,4774
0.18999999999999995,0.32941482529307514,0.1037443201677735,0.9564954682779456,0.18718590488953707,15511,41027,216,4749
0.19999999999999996,0.3486984374745947,0.10607965515693053,0.9516616314199395,0.19088209748116428,16721,39817,240,4725
0.20999999999999996,0.3683072370453474,0.10843540559278946,0.9450151057401812,0.1945475277288276,17960,38578,273,4692
0.21999999999999995,0.38651773084239793,0.11052206162038798,0.9363544813695871,0.19770779731654936,19123,37415,316,4649
0.22999999999999995,0.4045818903142936,0.11299117294667091,0.9307150050352467,0.20151759626706206,20262,36276,344,4621
0.23999999999999994,0.42222330618018633,0.11547169811320755,0.9244712990936556,0.20530023482053003,21378,35160,375,4590
0.24999999999999992,0.4382225257304522,0.11761360698960864,0.9164149043303121,0.208471741769948,22402,34136,415,4550
0.2599999999999999,0.45457945140887435,0.1200882650077099,0.9097683786505538,0.2121703187017074,23441,33097,448,4517
0.2699999999999999,0.47155423312683936,0.12262909768665717,0.9011077542799597,0.21587975584453184,24528,32010,491,4474
0.2799999999999999,0.487000634115409,0.125,0.8924471299093656,0.21928587335758296,25521,31017,534,4431
0.2899999999999999,0.50275596312375,0.12736741046751812,0.8817724068479356,0.2225837612486654,26543,29995,587,4378
0.29999999999999993,0.5179259548314716,0.13001378979555128,0.8735146022155086,0.22633927406518278,27517,29021,628,4337
0.30999999999999994,0.5320716062631091,0.1325,0.8646525679758308,0.2297872340425532,28431,28107,672,4293
0.3199999999999999,0.5470952636456758,0.13532373183787919,0.8553877139979859,0.23367905581996753,29401,27137,718,4247
0.32999999999999985,0.5618587711168561,0.138382575508324,0.8471299093655589,0.23790265561808874,30350,26188,759,4206
0.33999999999999986,0.5761832756125718,0.14115166150811198,0.8358509566968781,0.24151777920037246,31287,25251,815,4150
0.34999999999999987,0.5898086272214363,0.14399662672616748,0.8253776435045317,0.24521302058401148,32177,24361,867,4098
0.3599999999999999,0.6031250508105296,0.14711433756805808,0.8163141993957704,0.24930032292787943,33041,23497,912,4053
0.3699999999999999,0.6164577337690844,0.1502403846153846,0.8056394763343404,0.2532527145525341,33914,22624,965,4000
0.3799999999999999,0.6291075232102499,0.15355645286535177,0.796576032225579,0.25747859770189774,34737,21801,1010,3955
0.3899999999999999,0.6422938718436499,0.15681534308392764,0.7838872104733132,0.26134837496642493,35611,20927,1073,3892
0.3999999999999998,0.6547973269596605,0.16041753653444676,0.7738167170191339,0.26574442330970083,36430,20108,1123,3842
