,roc_auc,pr_auc,f1
Application_Only,,,
Application_Plus_Bureau,0.004585999999999979,0.007074999999999998,0.003051999999999999
Application_Plus_Bureau_Plus_Previous,0.007113000000000036,0.007268999999999998,0.005280000000000007
Application_Plus_Bureau_Plus_Previous_Plus_Installments,0.004948999999999981,0.004163,0.004286000000000012
