fold,train_size,validation_size,accuracy,precision,recall,f1,roc_auc,pr_auc,TN,FP,FN,TP,training_time_seconds
1,205007,102504,0.7601752126746273,0.19680969733025955,0.6396374622356495,0.30100372487133553,0.7767123090469419,0.2738862289622251,72628,21601,2982,5293,273.0229330062866
2,205007,102504,0.7574045890892063,0.1960281401143192,0.6465256797583081,0.30084066691033823,0.7790526639815794,0.267856811673206,72287,21942,2925,5350,284.72516441345215
3,205008,102503,0.7608265123947592,0.19594113902722132,0.6323867069486405,0.299182436681722,0.7779396096143737,0.2638772235155948,72754,21474,3042,5233,456.508150100708
