threshold,accuracy,precision,recall,f1,TN,FP,FN,TP
0.1,0.14983008958912572,0.08624337699127424,0.9933534743202417,0.15870768438666494,4283,52255,33,4932
0.11,0.16669105572085915,0.08757172898029013,0.9897280966767371,0.160906367163837,5338,51200,51,4914
0.12,0.18337316878851437,0.08899382491827097,0.9869083585095669,0.16326530612244897,6378,50160,65,4900
0.13,0.20130725330471685,0.090524675902743,0.9830815709969789,0.165783574485429,7500,49038,84,4881
0.13999999999999999,0.22039575305269662,0.09224581175175973,0.9792547834843908,0.168608683589957,8693,47845,103,4862
0.14999999999999997,0.23964684649529291,0.09409776845539825,0.9758308157099698,0.17164417047507705,9894,46644,120,4845
0.15999999999999998,0.2587353462432727,0.09594000517196793,0.9713997985901309,0.17463248605981607,11090,45448,142,4823
0.16999999999999998,0.27827910833617875,0.09779836356587565,0.9653575025176233,0.1776040315707563,12322,44216,172,4793
0.17999999999999997,0.2982130952961644,0.09990572954854929,0.9605236656596173,0.1809867172675522,13572,42966,196,4769
0.18999999999999995,0.3167650358519097,0.10204476137291121,0.9568982880161128,0.18442249092638238,14731,41807,214,4751
0.19999999999999996,0.33585353559988945,0.10402136488037432,0.9492447129909366,0.18749627036381358,15943,40595,252,4713
0.20999999999999996,0.3546168479586362,0.10622278664731495,0.9434038267875126,0.19094596522696236,17126,39412,281,4684
0.21999999999999995,0.3726647480610702,0.10849210415987329,0.9381671701913393,0.19449257813315518,18262,38276,307,4658
0.22999999999999995,0.3912654667252004,0.11067951853450343,0.9297079556898288,0.19781020333826144,19448,37090,349,4616
0.23999999999999994,0.4079475797928556,0.11286192633444948,0.923262839879154,0.20113643842829249,20506,36032,381,4584
0.24999999999999992,0.424857324032974,0.11526393036084823,0.9174219536757301,0.20479733830901692,21575,34963,410,4555
0.2599999999999999,0.44137684340601274,0.11749089016137429,0.9091641490433031,0.20809035380892013,22632,33906,451,4514
0.2699999999999999,0.4570508755670455,0.119519246212324,0.8992950654582075,0.2109963849443565,23645,32893,500,4465
0.2799999999999999,0.47392810106824057,0.1221652044363516,0.8918429003021148,0.2148940816772221,24720,31818,537,4428
0.2899999999999999,0.4902037298993545,0.12476182350766431,0.8835850956696878,0.21865031897926634,25762,30776,578,4387
0.29999999999999993,0.5053086841292295,0.12749458652776965,0.8775427995971803,0.22264237716855312,26721,29817,608,4357
0.30999999999999994,0.5203486008812578,0.1301739471224865,0.8696878147029204,0.2264526956156912,27685,28853,647,4318
0.3199999999999999,0.5340227305985074,0.1325828061034611,0.8610271903323263,0.22978311698782553,28569,27969,690,4275
0.32999999999999985,0.5479244914882201,0.13526462039669104,0.8529707955689829,0.2335005789270552,29464,27074,730,4235
0.33999999999999986,0.5616961774222395,0.13800368712141164,0.8443101711983887,0.23723154409892194,30354,26184,773,4192
0.34999999999999987,0.5759881631790319,0.1409964291787111,0.8350453172205438,0.24125691009601397,31279,25259,819,4146
0.3599999999999999,0.5894671804627416,0.14411537651765036,0.827190332326284,0.24546514060305413,32147,24391,858,4107
0.3699999999999999,0.6024584166626018,0.14704923377893708,0.817522658610272,0.24926308032424466,32994,23544,906,4059
0.3799999999999999,0.6155959871876169,0.15020414278757913,0.8076535750251762,0.2533004863874676,33851,22687,955,4010
0.3899999999999999,0.6279368486090109,0.15347721822541965,0.7991943605236657,0.25750348810798535,34652,21886,997,3968
0.3999999999999998,0.6394810009267841,0.15627996164908917,0.7879154078549849,0.26082608260826085,35418,21120,1053,3912
0.4099999999999998,0.6508137814415557,0.15907495354119347,0.7758308157099698,0.26401644962302945,36175,20363,1113,3852
0.4199999999999998,0.6617725964587093,0.1621656214002304,0.7655589123867069,0.26763836079425435,36900,19638,1164,3801
0.4299999999999998,0.6727964489537096,0.1657037004366427,0.7566968781470292,0.2718720602069614,37622,18916,1208,3757
0.43999999999999984,0.683673967123555,0.16917808219178082,0.7462235649546828,0.2758235622557231,38343,18195,1260,3705
0.44999999999999984,0.693722257450856,0.17183951551854657,0.731520644511581,0.2783035132753534,39034,17504,1333,3632
0.45999999999999985,0.7037868071476188,0.17528299113049445,0.7204431017119839,0.281964370171843,39708,16830,1388,3577
