metric,min,max,absolute_gap
selection_rate,0.23897339809176302,0.5,0.261026601908237
recall_tpr,0.0,0.688586190699859,0.688586190699859
fpr,0.210337972166998,0.5,0.289662027833002
fnr,0.3114138093001409,0.38011283497884346,0.06869902567870256
roc_auc,0.7767740430945124,0.7814378068816805,0.004663763787168151
