group,n,positive_rate_actual,selection_rate,accuracy,precision,recall_tpr,fpr,fnr,roc_auc,TN,FP,FN,TP
F,40561,0.06991938068588052,0.23897339809176302,0.7777914745691674,0.18136799752398639,0.6198871650211566,0.210337972166998,0.38011283497884346,0.7767740430945124,29790,7935,1078,1758
M,20940,0.10167144221585482,0.32196752626552055,0.7163801337153772,0.21744289528329871,0.688586190699859,0.28047419063314016,0.3114138093001409,0.7814378068816805,13535,5276,663,1466
XNA,2,0.0,0.5,0.5,0.0,0.0,0.5,,,1,1,0,0
