,accuracy,precision,recall,f1,roc_auc,pr_auc,evaluation_type
Development_Validation,0.756874,0.196155,0.649345,0.301294,0.782085,0.279699,Development split
OOF_3Fold_CV,0.7594687669709376,0.19625925605429395,0.6395166163141994,0.30034620405229007,0.7778909405807257,0.26836371514730867,Out-of-fold stability estimate
