,accuracy,precision,recall,f1,roc_auc,pr_auc
LogisticRegression,0.702649,0.170272,0.69285,0.273363,0.765474,0.247268
LightGBM,0.7429556281807391,0.19059575439397397,0.6727089627391742,0.29703410556271953,0.7814707729656785,0.2778856159086062
CatBoost,0.759377591337008,0.19830654067983802,0.6509566968781471,0.30400225744250575,0.7841856417754945,0.28275942157393713
