FN_cost_multiplier,best_threshold,precision,recall,f1,FP,FN,total_cost
2,0.8299999999999996,0.44554455445544555,0.14501510574018128,0.21881173074000912,896,4245,9386.0
5,0.6599999999999997,0.27867095391211144,0.418932527693857,0.3347011022608416,5384,2885,19809.0
10,0.47999999999999976,0.19093065281228824,0.6809667673716012,0.29824019759184933,14327,1584,30167.0
20,0.32999999999999985,0.138382575508324,0.8471299093655589,0.23790265561808874,26188,759,41368.0
