feature,value_shap_correlation,mean_abs_shap
EXT_SOURCE_2,-0.98291542994199,0.3162977450635096
EXT_SOURCE_3,-0.9785081954280332,0.28143268599370375
EXT_SOURCE_1,-0.9686793779278305,0.18219261503035464
BUREAU_DEBT_MEAN,0.26943347603904333,0.07747744238985071
PREV_CREDIT_TO_APPLICATION_RATIO,0.27160115285865416,0.07621657987680669
INST_LATE_PAYMENT_RATE,0.8619575980120678,0.0673129556304666
INST_DPD_MEAN,0.21693859163312096,0.04302693448965245
