metric,min_group,min_value,max_group,max_value,absolute_gap
positive_rate_actual,F,0.06991938068588052,M,0.10167144221585482,0.0317520615299743
selection_rate,F,0.23897339809176302,M,0.32196752626552055,0.08299412817375754
precision,F,0.18136799752398639,M,0.21744289528329871,0.03607489775931233
recall_tpr,F,0.6198871650211566,M,0.688586190699859,0.06869902567870245
fpr,F,0.210337972166998,M,0.28047419063314016,0.07013621846614215
fnr,M,0.3114138093001409,F,0.38011283497884346,0.06869902567870256
roc_auc,F,0.7767740430945124,M,0.7814378068816805,0.004663763787168151
