metric,mean,std,min,max
accuracy,0.7594687713861976,0.0018170537272657094,0.7574045890892063,0.7608265123947592
precision,0.19625965882393337,0.00047832945353617004,0.19594113902722132,0.19680969733025955
recall,0.6395166163141993,0.0070702610157389635,0.6323867069486405,0.6465256797583081
f1,0.30034227615446524,0.001007753777745909,0.299182436681722,0.30100372487133553
roc_auc,0.7779015275476316,0.001170642126303336,0.7767123090469419,0.7790526639815794
pr_auc,0.26854008805034196,0.005039364787682351,0.2638772235155948,0.2738862289622251
