,accuracy,precision,recall,f1,roc_auc,pr_auc,training_time_seconds,iterations
LogisticRegression,0.9195974180121295,0.6086956521739131,0.011278952668680765,0.02214751829147716,0.7484530487333297,0.23008912228258324,173.24418425559998,576
LogisticRegression_Balanced,0.6892997089572866,0.16136755410840836,0.6787512588116817,0.2607450965221092,0.7488264432085121,0.2287605877618271,115.47069907188416,364
