feature,importance
YEARS_BEGINEXPLUATATION_AVG,0.12830312479562475
CNT_CHILDREN,0.12795142911746057
ENTRANCES_MODE,0.11985781531922755
FONDKAPREMONT_MODE,0.11681497008221547
FLOORSMAX_AVG,0.1163629505648437
LIVINGAPARTMENTS_AVG,0.10710880635208446
FLAG_OWN_REALTY,0.104092854808707
BUREAU_STATUS_Sold,0.1021001026235868
BASEMENTAREA_MEDI,0.098217084072279
AMT_REQ_CREDIT_BUREAU_WEEK,0.09696750622350422
PREV_STATUS_Unused offer,0.09551135448952593
YEARS_BUILD_MODE,0.08903355965151494
INST_LATE_7_COUNT,0.0861478608385952
LIVINGAPARTMENTS_MODE,0.08603217692574608
YEARS_BUILD_AVG,0.08369585978298556
FLAG_DOCUMENT_11,0.07854787568559521
NONLIVINGAPARTMENTS_MODE,0.07793430435938717
INST_LATE_30_RATE,0.07521462560201002
COMMONAREA_MEDI,0.07476948336656478
EMERGENCYSTATE_MODE,0.07383755968023967
ELEVATORS_MODE,0.07344485986563651
BUREAU_CREDIT_PROLONG_SUM,0.07126057589628206
YEARS_BUILD_MEDI,0.07025258834277177
FLOORSMAX_MEDI,0.06798533466061481
ELEVATORS_AVG,0.06553762789017106
AMT_REQ_CREDIT_BUREAU_DAY,0.058971145299501385
REG_REGION_NOT_LIVE_REGION,0.057457980071961505
FLAG_EMAIL,0.05436444150402191
BUREAU_CREDIT_DAY_OVERDUE_MAX,0.053883105311065535
ELEVATORS_MEDI,0.05265878210118087
PREV_STATUS_Canceled,0.04530313369303038
ENTRANCES_MEDI,0.04448495339768381
LIVE_CITY_NOT_WORK_CITY,0.04216916385801694
FLOORSMAX_MODE,0.039629103844410464
LIVINGAPARTMENTS_MEDI,0.03850680655335863
FLAG_DOCUMENT_15,0.037689126117270114
FLOORSMIN_MEDI,0.03759844750408279
BUREAU_OVERDUE_MAX,0.03509531496397457
FLAG_DOCUMENT_5,0.03393275203133003
FLOORSMIN_AVG,0.03362922935701603
AMT_REQ_CREDIT_BUREAU_HOUR,0.028489577200772685
FLOORSMIN_MODE,0.028427625950656177
BUREAU_OVERDUE_SUM,0.027180658306380747
FLAG_DOCUMENT_14,0.02592630312189837
HOUSETYPE_MODE,0.025582818343922013
REG_CITY_NOT_WORK_CITY,0.024430701589928272
NONLIVINGAPARTMENTS_MEDI,0.021882443972195607
BUREAU_STATUS_Bad debt,0.0168149649489878
INST_LATE_30_COUNT,0.016745794156332906
REG_REGION_NOT_WORK_REGION,0.016255658318767293
FLAG_CONT_MOBILE,0.013363973808695943
PREV_HAS_HISTORY,0.012564498134156409
FLAG_DOCUMENT_8,0.012058290795984819
BUREAU_HAS_HISTORY,0.010777241473876296
FLAG_DOCUMENT_9,0.005902671452148028
FLAG_DOCUMENT_17,0.002633619981246855
BUREAU_CREDIT_DAY_OVERDUE_MEAN,0.0012281916496280948
FLAG_DOCUMENT_10,2.6656191026563413e-06
LIVE_REGION_NOT_WORK_REGION,0.0
FLAG_MOBIL,0.0
FLAG_DOCUMENT_2,0.0
FLAG_DOCUMENT_12,0.0
FLAG_DOCUMENT_19,0.0
FLAG_DOCUMENT_20,0.0
FLAG_DOCUMENT_7,0.0
FLAG_DOCUMENT_21,0.0
FLAG_DOCUMENT_4,0.0
INST_HAS_HISTORY,0.0
DAYS_EMPLOYED_ANOMALY,0.0
