FN_cost_multiplier,best_threshold,precision,recall,f1,FP,FN,total_cost
2,0.8199999999999996,0.4430992736077482,0.1474320241691843,0.2212482998337615,920,4233,9386.0
5,0.6499999999999997,0.2619685497961561,0.4529707955689829,0.33195571955719555,6336,2716,19916.0
10,0.48999999999999977,0.1867542419266557,0.6872104733131923,0.29369485689692276,14858,1553,30388.0
20,0.3599999999999999,0.14411537651765036,0.827190332326284,0.24546514060305413,24391,858,41551.0
